phoenix_region_id,phoenix_region_name,counter,time_us,p_mw
1,region_compute,1,1477496381117441.000,109844.000
1,region_compute,1,1477496381117778.000,109844.000
1,region_compute,1,1477496381118122.000,109844.000
1,region_compute,1,1477496381118453.000,109844.000
1,region_compute,1,1477496381118777.000,109844.000
1,region_compute,1,1477496381119117.000,109844.000
1,region_compute,1,1477496381119448.000,109844.000
1,region_compute,1,1477496381119771.000,109844.000
1,region_compute,1,1477496381120098.000,109844.000
1,region_compute,1,1477496381120428.000,109844.000
1,region_compute,1,1477496381120755.000,109844.000
1,region_compute,1,1477496381121078.000,109844.000
1,region_compute,1,1477496381121414.000,109844.000
1,region_compute,1,1477496381121738.000,109844.000
1,region_compute,1,1477496381122064.000,109844.000
1,region_compute,1,1477496381122397.000,109844.000
1,region_compute,1,1477496381122723.000,109844.000
1,region_compute,1,1477496381123047.000,109844.000
1,region_compute,1,1477496381123397.000,109844.000
1,region_compute,1,1477496381123725.000,109844.000
1,region_compute,1,1477496381124047.000,109844.000
1,region_compute,1,1477496381124397.000,109844.000
1,region_compute,1,1477496381124721.000,109844.000
1,region_compute,1,1477496381125044.000,109844.000
1,region_compute,1,1477496381125381.000,109844.000
1,region_compute,1,1477496381125706.000,109844.000
1,region_compute,1,1477496381126029.000,109844.000
1,region_compute,1,1477496381126364.000,109844.000
1,region_compute,1,1477496381126694.000,109844.000
1,region_compute,1,1477496381127026.000,109844.000
1,region_compute,1,1477496381127359.000,109844.000
1,region_compute,1,1477496381127685.000,109844.000
1,region_compute,1,1477496381128008.000,109844.000
1,region_compute,1,1477496381128339.000,109844.000
1,region_compute,1,1477496381128710.000,109844.000
1,region_compute,1,1477496381129034.000,109844.000
1,region_compute,1,1477496381129362.000,109844.000
1,region_compute,1,1477496381129697.000,109844.000
1,region_compute,1,1477496381130025.000,109844.000
1,region_compute,1,1477496381130355.000,109844.000
1,region_compute,1,1477496381130678.000,109844.000
1,region_compute,1,1477496381131005.000,109844.000
1,region_compute,1,1477496381131338.000,109844.000
1,region_compute,1,1477496381131665.000,109844.000
1,region_compute,1,1477496381131992.000,109844.000
1,region_compute,1,1477496381132325.000,109844.000
1,region_compute,1,1477496381132652.000,109844.000
1,region_compute,1,1477496381132976.000,109844.000
1,region_compute,1,1477496381133305.000,109844.000
1,region_compute,1,1477496381133630.000,109844.000
1,region_compute,1,1477496381133978.000,109844.000
1,region_compute,1,1477496381134315.000,109844.000
1,region_compute,1,1477496381134639.000,109844.000
1,region_compute,1,1477496381134979.000,109844.000
1,region_compute,1,1477496381135308.000,109844.000
1,region_compute,1,1477496381135632.000,109844.000
1,region_compute,1,1477496381135955.000,109844.000
1,region_compute,1,1477496381136288.000,109844.000
1,region_compute,1,1477496381136615.000,109844.000
1,region_compute,1,1477496381136942.000,109844.000
1,region_compute,1,1477496381137273.000,109844.000
1,region_compute,1,1477496381137596.000,109844.000
1,region_compute,1,1477496381137920.000,109844.000
1,region_compute,1,1477496381138250.000,109844.000
1,region_compute,1,1477496381138572.000,109844.000
1,region_compute,1,1477496381138895.000,109844.000
1,region_compute,1,1477496381139244.000,109844.000
1,region_compute,1,1477496381139567.000,109844.000
1,region_compute,1,1477496381139895.000,109844.000
1,region_compute,1,1477496381140244.000,109844.000
1,region_compute,1,1477496381140566.000,109844.000
1,region_compute,1,1477496381140890.000,109844.000
1,region_compute,1,1477496381141221.000,109844.000
1,region_compute,1,1477496381141545.000,109844.000
1,region_compute,1,1477496381141868.000,109844.000
1,region_compute,1,1477496381142204.000,109844.000
1,region_compute,1,1477496381142529.000,109844.000
1,region_compute,1,1477496381142857.000,109844.000
1,region_compute,1,1477496381143194.000,109844.000
1,region_compute,1,1477496381143519.000,109844.000
1,region_compute,1,1477496381143854.000,109844.000
1,region_compute,1,1477496381144184.000,109844.000
1,region_compute,1,1477496381144528.000,109844.000
1,region_compute,1,1477496381144850.000,109844.000
1,region_compute,1,1477496381145180.000,109844.000
1,region_compute,1,1477496381145524.000,109844.000
